name,symbol,last,currency,price_change,open,high,low,52high,52low,volume,marketcap,outstanding,timestamp
BT Group,BT.A:LSE,138.2,GBX,4.55,133.65,139.4,133.45,,,22610375,,,2023-02-08
Centrica PLC,CNA:LSE,96.66,GBX,0.34,96.32,97.68,96.32,,,16151881,,,2023-02-08
Caledonia Investments Plc,GB0001639920,3600,GBX,-40,3640,3670,3595,,,32839,,,2023-02-08
Worldwide Healthcare,GB0003385308,3210,GBX,50,3160,3210,3155,,,331619,,,2023-02-08
Allianz Technology Trust PLC,ATT:LSE,235,GBX,-2.5,237.5,238.5,232.5,,,1171836,,,2023-02-08
Janus Henderson Strategic Bond Fund I Inc,GB0007502080,117.3,GBX,,,,,,,,,,2023-02-08
Virgin UK Index Tracking Trust Inc,GB0009304311,287.7,GBX,,,,,,,,,,2023-02-07
MIGO Opportunities Trust plc,GB0034365949,343,GBX,0,343,337,337,,,13904,,,2023-02-08
Middlefield Canadian Income Trust,GB00B15PV034,119.5,GBX,-0.5,120,120.5,120,,,86231,,,2023-02-08
Experian PLC,GB00B19NLV48,3021,GBX,3,3018,3063,3018,,,641303,,,2023-02-08
Artemis High Income Fund I Inc,GB00B2PLJN71,0.7161,GBP,,,,,,,,,,2023-02-07
Barings Global Agriculture Fund - Class I GBP Acc,GB00B3B9VD63,406.9,GBX,,,,,,,,,,2023-02-08
Vanguard LifeStrategy 60% Equity Fund A Acc,GB00B3TYHH97,221.0122,GBP,,,,,,,,,,2023-02-07
Vanguard LifeStrategy 40% Equity Fund A Acc,GB00B3ZHN960,185.1752,GBP,,,,,,,,,,2023-02-07
Vanguard LifeStrategy 20% Equity Fund A Gross Acc,GB00B4NXY349,154.9115,GBP,,,,,,,,,,2023-02-07
Vanguard LifeStrategy 80% Equity Fund A Acc,GB00B4PQW151,261.4806,GBP,,,,,,,,,,2023-02-07
BlackRock Gold and General Fund D Inc,GB00B5ZNJ904,1222.335,GBX,,,,,,,,,,2023-02-08
BNY Mellon Investment Funds - Newton Multi-Asset Growth Fund Institutional W Income,GB00B87BSD02,2.5065,GBP,,,,,,,,,,2023-02-07
Vanguard FTSE Global All Cap Index Fund GBP Acc,GB00BD3RZ582,181.6303,GBP,,,,,,,,,,2023-02-07
Alternative Income REIT PLC,GB00BDVK7088,70.2,GBX,-0.4,70.6,70,70,,,216080,,,2023-02-08
Gresham House Energy Storage Fund PLC,GB00BFX3K770,159.5,GBX,-1.5,161,161,159.5,,,413654,,,2023-02-08
Vanguard ESG Developed World All Cap Equity Index Fund (UK) GBP Acc,GB00BLLZQL34,132.2344,GBP,,,,,,,,,,2023-02-07
FTF Martin Currie Japan Equity Fund W Accumulation,GB00BNBS8650,4.38,GBP,,,,,,,,,,2023-02-08
Spire Healthcare Group PLC,GB00BNLPYF73,250,GBX,1.5,248.5,251.5,247,,,186636,,,2023-02-08
LXI REIT,GB00BYQ46T41,113.8,GBX,0.6,113.2,114.8,113.2,,,6806971,,,2023-02-08
Urban Logistics REIT plc,GB00BYV8MN78,141,GBX,-3,144,144.5,141,,,365356,,,2023-02-08
Impact Healthcare REIT plc,GB00BYXVMJ03,104.8,GBX,0.2,104.6,105.2,104,,,535191,,,2023-02-08
Gold Fields Ltd,GFI:NYS,10.835,USD,-0.185,11.02,11.105,10.7425,,,1892881,,,2023-02-08
Round Hill Music Royalty Ltd,GG00BMXNVC81,0.73,USD,-0.0025,0.7325,0.735,0.73,,,375770,,,2023-02-08
Sequoia Economic Infrastructure Inc Ord,GG00BV54HY67,86,GBX,-0.1,86.1,86.6,85.4,,,1706504,,,2023-02-08
HP Inc,HPQ:NYS,29.775,USD,-0.015,29.79,29.979,29.5812,,,1907636,,,2023-02-08
Vanguard FTSE Emerging Markets UCITS ETF USD Distributing,IE00B3VVMM84,46.1,GBP,-0.46,46.56,46.56,46.24,,,40741,,,2023-02-08
Vanguard S&P 500 UCITS ETF,IE00B3XXRP09,64.715,GBP,-0.5,65.215,65.35,64.715,,,184816,,,2023-02-08
Vanguard FTSE Japan UCITS ETF USD Distributing,IE00B95PGT31,25.2175,GBP,-0.14,25.3575,25.3575,25.2225,,,12141,,,2023-02-08
Polar Capital Funds PLC - Polar Capital UK Value Opportunities Fund Class S GBP Accumulation,IE00BD81XV77,13.28,GBP,,,,,,,,,,2023-02-08
Atlantic House Defined Returns Fund B GBP Acc,IE00BFLR2202,1.8074,GBP,,,,,,,,,,2023-02-07
Vanguard FTSE Developed World UCITS ETF USD Distributing,IE00BKX55T58,67.335,GBP,-0.475,67.81,67.81,67.59,,,9418,,,2023-02-08
Phoenix Spree Deutschland Ltd Ord,JE00B248KJ21,250,GBX,5,245,253,245,,,89573,,,2023-02-08
GCP Infrastructure Investments,JE00B6173J15,97.1,GBX,-1.3,98.4,98.4,97,,,1787351,,,2023-02-08
EJF Investments ZDP 2025,JE00BK1WV903,119.5,GBX,0.5,119,,,,,5710,,,2023-02-08
Lloyds Banking Group plc,LLOY:LSE,53.65,GBX,-0.08,53.73,53.78,53.23,,,76738049,,,2023-02-08
Marks and Spencer Group PLC,MKS:LSE,158.8,GBX,-1.2,160,161.7,158.2,,,5524948,,,2023-02-08
Melrose Industries PLC,MRO:LSE,142.9,GBX,-2.9,145.8,146.5,142.7,,,5415942,,,2023-02-08
National Grid PLC,NG.:LSE,1025.5,GBX,-10.5,1036,1043,1025.5,,,3393111,,,2023-02-08
Shell PLC,SHEL:LSE,2443,GBX,-15,2458,2479,2443,,,12897445,,,2023-02-08
International Distributions Services PLC,IDS:LSE,236.6,GBX,3.7,232.9,242.1,232.9,,,1390650,,,2023-02-08
Rolls-Royce Holdings PLC,RR.:LSE,109.22,GBX,0.2,109.02,110.6,107.9,,,15542431,,,2023-02-08
Abrdn PLC,ABDN:LSE,212.9,GBX,3,209.9,213.8,209.9,,,5388031,,,2023-02-08
FTSE 100 Index,FTSE:FSI,7885.17,GBP,20.46,7864.71,7934.3,7864.66,,,587150416,,,2023-02-08
FTSE 250 MID INDEX,FTSM:FSI,20303.81,GBP,114.81,20189,20526.73,20189,,,292789508,,,2023-02-08
