name,symbol,last,currency,price_change,open,high,low,52high,52low,volume,marketcap,outstanding,timestamp
Abrdn PLC,ABDN:LSE,153.5,GBX,3.15,150.35,153.95,149.75,,,1961393,,,2023-10-26
Allianz Technology Trust PLC,ATT:LSE,245.25,GBX,-2.75,248,249,243.5,,,800679,,,2023-10-26
BT Group,BT.A:LSE,111.45,GBX,0.8,110.65,112.1,110.65,,,2854525,,,2023-10-26
Chemring Group PLC,CHG:LSE,277,GBX,2,275,279.5,275,,,269855,,,2023-10-26
Centrica PLC,CNA:LSE,157.6,GBX,0.3,157.3,158.7,156.1,,,2941207,,,2023-10-26
Dowlais Group Plc,DWL:LSE,90.26,GBX,2.66,87.6,91.12,86.36,,,4631668,,,2023-10-26
FTSE 100 Index,FTSE:FSI,7362.22,GBP,-52.12,7414.34,7414.34,7342.48,,,405120334,,,2023-10-26
FTSE 250 MID INDEX,FTSM:FSI,16806.6,GBP,-64.11,16870.71,16889.54,16764.25,,,157947936,,,2023-10-26
Caledonia Investments Plc,GB0001639920,3180,GBX,-20,3200,3220,3180,,,11786,,,2023-10-26
,GB0003385308,,,,,,,,,,,,
Janus Henderson Strategic Bond Fund I Inc,GB0007502080,104.7,GBX,,,,,,,,,,2023-10-25
Virgin UK Index Tracking Trust Inc,GB0009304311,265.2,GBX,,,,,,,,,,2023-10-25
Stewart Investors Asia Pacific Leaders Sustainability Fund Class B (Accumulation) GBP,GB0033874768,939.11,GBX,,,,,,,,,,2023-10-25
MIGO Opportunities Trust plc,GB0034365949,312.23,GBX,-0.27,312.5,323,318,,,7245,,,2023-10-26
Middlefield Canadian Income Trust,GB00B15PV034,95.268,GBX,-1.532,96.8,96.8,96.8,,,32395,,,2023-10-26
Experian PLC,GB00B19NLV48,2405,GBX,-15,2420,2422,2387,,,801035,,,2023-10-26
Artemis High Income Fund I Inc,GB00B2PLJN71,0.6627,GBP,,,,,,,,,,2023-10-25
Barings Global Agriculture Fund - Class I GBP Acc,GB00B3B9VD63,328.5,GBX,,,,,,,,,,2023-10-25
Vanguard LifeStrategy 60% Equity Fund A Acc,GB00B3TYHH97,212.2355,GBP,,,,,,,,,,2023-10-25
